id;living_room_name;condition_level;room_size;wall_state;floor_material;sunlight;remarks
1;phooey;HIGH;26600.14;LOW;yum wherever 조잡한;우연히 draft comb;활동 besmirch 아드레날린
2;eyeglasses 똑똑하게 zowie;HIGH;5870.66;LOW;amongst 마구;고의로 drat;pace
3;명확한 overplay;HIGH;20992.42;MIDDLE;unscramble;under wherever;늙은
4;phew;LOW;4546.61;HIGH;atop;탐닉;emulsify 비정상적으로
5;아름답게;MIDDLE;21944.23;LOW;aw;except;regarding 합의 향긋한
6;when 언제나 ah;HIGH;4858.66;HIGH;whose though 배우;나이 before 대행사;unto 달력
7;astride below 비뚤어진;LOW;22057.33;HIGH;ouch;for before;의심스럽게
8;배우;HIGH;30596.73;LOW;incidentally breed;er 원통형;대담한 정교한
9;from um;LOW;11700.97;LOW;사려 깊은;hm probate;적응 비정상적으로 eyeglasses
10;against while;HIGH;24940.06;MIDDLE;깊이 극진히;when instead;afore
