id;report_title;report_date;summary;exterior_state;construction_year;maintenance_state;parking_facility;parking_count;elevator_state;noise_state;homepad_state;cctv_yn;fire_safety_state;door_security_state;maintenance_fee;redevelopment_yn;rental_demand;community_rules;complex_id;complex_name;property_id;property_name;created_at;updated_at
1;like;2024-12-23T00:11:47;gee 극진히 탄약;LOW;10558;LOW;친숙한 ick;26077;LOW;LOW;LOW;l;LOW;LOW;11262;유;여진 존경하는 영리한;이점 convince till;14679;밝게;7388;behold;2024-12-22T19:34:51;2024-12-23T01:22:54
2;meh;2024-12-22T12:11:59;whose following 쿨하게;MIDDLE;26206;LOW;shudder;7337;LOW;MIDDLE;HIGH;기;HIGH;LOW;12432;c;승인 likewise;불쌍한;25094;달력;8534;yet 예술적인 suffice;2024-12-23T04:35:22;2024-12-23T04:29:05
3;by entrench rationalize;2024-12-23T02:47:31;깊이;HIGH;8146;LOW;whenever;23652;LOW;MIDDLE;HIGH;p;LOW;LOW;21755;n;within 먹을 수 있는 흥미롭게;to;682;우연히 psst beside;23306;psst yippee;2024-12-22T22:27:46;2024-12-22T21:59:29
4;throughout delete 관리자;2024-12-22T18:14:47;amend;MIDDLE;21046;HIGH;유연 면밀히;18598;LOW;LOW;HIGH;a;HIGH;MIDDLE;1557;비;어색하게 under;관리자 다채롭게;29003;아몬드 scope;32310;before;2024-12-22T18:33:58;2024-12-22T12:13:33
5;약간의 that;2024-12-22T20:41:59;우아한;HIGH;27071;LOW;두려운;19090;LOW;LOW;HIGH;n;LOW;HIGH;31075;p;phew usher;의심스럽게;7238;pro;20064;거만하게 from 전진;2024-12-22T23:07:40;2024-12-23T07:55:32
6;the qua;2024-12-22T23:05:21;crank 경솔한;LOW;20079;HIGH;incidentally 잔인하게 phew;7815;HIGH;MIDDLE;LOW;고;MIDDLE;MIDDLE;6814;p;지속적으로 outbid 비행기;fabricate 광고 whether;30462;why 대안 scamper;30460;reword 교육받은 that;2024-12-22T15:44:53;2024-12-23T05:23:34
7;pfft;2024-12-23T02:17:00;like;MIDDLE;20680;MIDDLE;even oh;28976;HIGH;LOW;MIDDLE;r;LOW;MIDDLE;6399;천;행복하게;늙은 노하여 ew;8060;명랑하게;19272;hoot;2024-12-22T22:38:02;2024-12-23T08:03:00
8;confound;2024-12-22T19:24:37;though blah;HIGH;4966;LOW;행복하게;6059;LOW;HIGH;HIGH;침;HIGH;HIGH;14636;b;bah besides;over mobilize;26838;불안한;19007;넓은 마음을 가진 motor 빠르게;2024-12-23T01:20:13;2024-12-23T06:56:02
9;용감하게 regarding for;2024-12-22T11:00:45;면밀히 whose psst;MIDDLE;5997;LOW;ha vice boohoo;12455;LOW;LOW;MIDDLE;u;MIDDLE;MIDDLE;5977;u;활동적인 abaft;restructure;31675;yahoo 다른 sans;12703;놀라운 에이전트 단조로운;2024-12-22T16:04:09;2024-12-23T08:37:43
10;consequently outfox;2024-12-22T12:29:22;동굴 같은 대수학;MIDDLE;20063;HIGH;저명한 똑똑하게 past;26751;HIGH;LOW;MIDDLE;b;LOW;MIDDLE;2004;두;anti round;athwart misfire;23668;노하여 저주받은;32450;yippee;2024-12-22T17:19:17;2024-12-23T07:15:45
