id;kitchen_name;condition_level;built_in_cabinet;sink_condition;ventilation_system;appliance_provision;remarks
1;though;LOW;배;MIDDLE;바쁘게 overfeed 알파카;즐거움 through;phooey till
2;ick 격렬한 나이;MIDDLE;a;LOW;whenever rosin;beyond procrastinate;광고 indeed blah
3;탐닉 여배우 탐닉;LOW;o;HIGH;억센;when on;although
4;연산 however why;LOW;잔;LOW;타원형의;above;용감하게 wherever
5;preclude manipulate;HIGH;흥;MIDDLE;economise;baa gosh;hmph incidentally
6;성취 명랑하게;MIDDLE;u;HIGH;gape 공적 다소;narrowcast which;빠른 ack 부드러운
7;유감스럽게;LOW;합;LOW;since 우연히;hype when 막대한;phooey
8;밀집한;HIGH;몹;MIDDLE;ack;yahoo boohoo as;where 달력 앨범
9;추운 불쌍한;MIDDLE;n;HIGH;유감스럽게;bludgeon yippee worth;fidget
10;schematise within arbitrate;HIGH;a;LOW;gut 양자 똑똑하게;down 대량;equate
